t (s),V (mV)
0,7.5723
0.971,7.5592
1.943,7.543
2.927,7.5318
3.926,7.5175
4.927,7.503
5.926,7.4893
6.927,7.4773
7.927,7.4626
8.927,7.4486
9.927,7.4351
10.927,7.4219
11.927,7.4088
12.927,7.3948
13.927,7.3809
14.927,7.367
15.927,7.354
16.927,7.3419
17.927,7.3307
18.927,7.3192
19.926,7.3069
20.927,7.2941
21.927,7.2804
22.927,7.2681
23.927,7.2541
24.927,7.2403
25.927,7.2275
26.927,7.2135
27.927,7.1992
28.927,7.1864
29.927,7.1736
30.927,7.1609
31.927,7.1475
32.927,7.1349
33.927,7.1216
34.927,7.1069
35.927,7.0947
36.927,7.0822
37.927,7.0694
38.927,7.056
39.927,7.043
40.927,7.031
41.927,7.0169
42.927,7.0032
43.927,6.9911
44.927,6.9788
45.927,6.9665
46.926,6.9524
47.927,6.9398
48.927,6.9274
49.927,6.9157
50.926,6.9019
51.927,6.8897
52.926,6.876
53.927,6.8638
54.926,6.8507
55.927,6.8388
56.926,6.8265
57.927,6.8135
58.927,6.801
59.926,6.7893
60.927,6.7767
61.927,6.765
62.927,6.7511
63.927,6.7401
64.927,6.728
65.926,6.7158
66.926,6.7032
67.926,6.6919
68.926,6.6798
69.926,6.6675
70.926,6.6539
71.927,6.64
72.927,6.6281
73.927,6.6151
74.927,6.6037
75.927,6.5926
76.927,6.581
77.926,6.5688
78.927,6.5567
79.926,6.5446
80.926,6.5331
81.926,6.5219
82.926,6.5087
83.926,6.4971
84.927,6.4849
85.926,6.474
86.926,6.4623
87.926,6.4501
88.926,6.4387
89.926,6.4273
90.926,6.4156
91.927,6.4046
92.926,6.3922
93.926,6.3814
94.927,6.3703
95.926,6.3604
96.926,6.3469
97.927,6.333
98.926,6.3206
99.926,6.3099
100.927,6.3009
101.926,6.2903
102.926,6.2786
103.926,6.2657
104.927,6.2548
105.927,6.2445
106.926,6.2329
107.926,6.2211
108.926,6.209
109.926,6.1988
110.926,6.1878
111.926,6.1767
112.926,6.165
113.927,6.1539
114.926,6.1434
115.926,6.1318
116.926,6.1205
117.926,6.1093
118.926,6.0983
119.926,6.0874
120.926,6.0762
121.927,6.0645
122.927,6.0538
123.927,6.0433
124.926,6.0326
125.926,6.0215
126.927,6.0099
127.927,5.9995
128.926,5.9887
129.926,5.978
130.926,5.9681
131.926,5.9556
132.926,5.9459
133.927,5.9354
134.926,5.9249
135.926,5.9144
136.926,5.9031
137.926,5.8924
138.927,5.8822
139.927,5.8712
140.927,5.8608
141.927,5.8494
142.926,5.8396
143.926,5.8289
144.926,5.8192
145.927,5.8083
146.927,5.7973
147.926,5.7885
148.926,5.7765
149.926,5.7669
150.926,5.7564
151.927,5.7463
152.926,5.7354
153.926,5.7257
154.926,5.7158
155.927,5.706
156.926,5.6946
157.926,5.6848
158.926,5.6752
159.926,5.6652
160.926,5.6546
161.926,5.6443
162.926,5.6342
163.926,5.6243
164.926,5.6142
165.926,5.6039
166.926,5.5943
167.926,5.5853
168.926,5.5747
169.926,5.5649
170.926,5.5554
171.926,5.5454
172.926,5.5353
173.926,5.5257
174.926,5.5165
175.926,5.5066
176.926,5.4958
177.926,5.4871
178.927,5.4777
179.926,5.4675
180.926,5.4583
181.926,5.4486
182.927,5.439
183.927,5.4308
184.926,5.4198
185.926,5.4115
186.926,5.4006
187.927,5.3922
188.926,5.3818
189.926,5.3733
190.926,5.3634
191.926,5.3549
192.926,5.3442
193.926,5.3355
194.926,5.3267
195.927,5.3171
196.926,5.308
197.926,5.2985
198.927,5.2898
199.926,5.2799
200.926,5.2715
201.926,5.2625
202.926,5.2538
203.927,5.2439
204.927,5.2352
205.926,5.2263
206.926,5.2172
207.926,5.2076
208.926,5.1994
209.927,5.1903
210.927,5.1805
211.926,5.1717
212.926,5.1629
213.926,5.154
214.926,5.1453
215.926,5.1356
216.926,5.1267
217.927,5.1169
218.927,5.1082
219.927,5.0979
220.926,5.0898
221.926,5.0801
222.926,5.0715
223.927,5.0637
224.926,5.055
225.926,5.0456
226.926,5.0375
227.926,5.0275
228.926,5.0188
229.926,5.0101
230.927,5.0014
231.927,4.9926
232.926,4.9854
233.926,4.9748
234.926,4.9669
235.926,4.9588
236.926,4.9496
237.927,4.9406
238.927,4.9318
239.926,4.9228
240.926,4.9145
241.926,4.906
242.926,4.8973
243.926,4.8886
244.926,4.8791
245.926,4.8715
246.926,4.8621
247.926,4.8541
248.926,4.8458
249.926,4.8372
250.926,4.8282
251.927,4.82
252.927,4.8125
253.927,4.803
254.927,4.796
255.927,4.7881
256.926,4.779
257.926,4.771
258.926,4.7625
259.926,4.7552
260.926,4.7471
261.926,4.7388
262.927,4.7305
263.927,4.7233
264.926,4.714
265.926,4.7057
266.926,4.6986
267.926,4.6899
268.927,4.6827
269.927,4.6741
270.927,4.6653
271.927,4.6579
272.926,4.6497
273.926,4.6421
274.926,4.6342
275.926,4.6268
276.927,4.6185
277.927,4.6113
278.926,4.6029
279.926,4.5947
280.926,4.5874
281.926,4.5794
282.926,4.5719
283.926,4.5643
284.927,4.557
285.926,4.5486
286.926,4.5412
287.926,4.5342
288.926,4.5266
289.926,4.5185
290.926,4.5115
291.927,4.5038
